Parada;Veiculo;Rota;DataHoraAntesParada;DistanciaAntesParada;DataHoraDepoisParada;DistanciaDepoisParada;VelociadadeKmH
P31 I 104C;2050;0104C;21/03/2018 07:47;3,899414063;21/03/2018 07:48;29,7109375;2,19992733
P31 I 104C;2004;0104C;21/03/2018 07:55;3,87890625;21/03/2018 07:55;0,920898438;3,45600009
P31 I 104C;2026;0104C;21/03/2018 08:00;17,43945313;21/03/2018 08:01;440,0302734;29,94349098
P31 I 104C;2083;0104C;21/03/2018 08:17;3,888671875;21/03/2018 08:18;0,930664063;0,385600001
P31 I 104C;2052;0104C;21/03/2018 08:58;3,888671875;21/03/2018 08:59;0,911132813;0,314181805
P32 V 104C;2083;0104C;21/03/2018 06:40;44,87304688;21/03/2018 06:41;399,1074219;29,06050873
P33 V 104C;2004;0104C;21/03/2018 06:22;370,3066406;21/03/2018 06:23;32,22265625;29,57363319
P33 V 104C;2083;0104C;21/03/2018 06:48;214,1074219;21/03/2018 06:49;273,203125;31,89665413
P33 V 104C*;2083;0104C;21/03/2018 06:43;51,64257813;21/03/2018 06:43;17,30859375;10,79217434
P33 V 104C*;2062;0104C;21/03/2018 06:56;54,53320313;21/03/2018 06:57;62,66796875;8,610611916
P33 V 104C*;2052;0104C;21/03/2018 07:22;51,65234375;21/03/2018 07:23;51,53710938;11,60887527
P33 V 104C*;2083;0104C;21/03/2018 08:11;51,65234375;21/03/2018 08:11;7,91796875;7,14839983
P33 V 104C*;2062;0104C;21/03/2018 08:28;31,57226563;21/03/2018 08:29;62,6875;6,169745445
P33 V 104C*;2052;0104C;21/03/2018 08:49;51,65234375;21/03/2018 08:49;23,5078125;6,29246521
P34 V 104C;2083;0104C;21/03/2018 00:13;264,0859375;21/03/2018 00:14;155,4746094;50,34719849
P34 V 104C;2004;0104C;21/03/2018 06:25;18,89453125;21/03/2018 06:25;155,5546875;89,7171402
P34 V 104C;2083;0104C;21/03/2018 06:50;277,5058594;21/03/2018 06:51;448,5644531;47,52458191
P34 V 104C;2062;0104C;21/03/2018 07:09;18,91601563;21/03/2018 07:10;221,9648438;28,90559959
P34 V 104C;2052;0104C;21/03/2018 07:35;276,9257813;21/03/2018 07:36;143,234375;38,7840004
P34 V 104C;2053;0104C;21/03/2018 07:39;58,99609375;21/03/2018 07:40;688,2753906;48,03878403
P34 V 104C;2050;0104C;21/03/2018 07:53;18,875;21/03/2018 07:54;155,4941406;20,92440033
P34 V 104C;2004;0104C;21/03/2018 08:01;276,9257813;21/03/2018 08:02;221,9746094;33,25999832
P34 V 104C;2083;0104C;21/03/2018 08:23;231,5058594;21/03/2018 08:23;155,4648438;44,93844986
P34 V 104C;2062;0104C;21/03/2018 08:41;261,5546875;21/03/2018 08:42;525,5351563;50,59864426
P34 V 104C;2052;0104C;21/03/2018 09:07;276,9257813;21/03/2018 09:08;221,9355469;32,65265274
P35 V 104C;2083;0104C;21/03/2018 00:14;54,11328125;21/03/2018 00:14;473,5273438;63,31679916
P35 V 104C;2004;0104C;21/03/2018 06:25;54,03320313;21/03/2018 06:25;105,796875;115,0775986
